reporting_month,state_records,missing_value_count,missing_value_percent,preliminary_records,all_records_final
2019-01-01,51,459,34.62,0,True
2019-02-01,51,204,15.38,0,True
2019-03-01,51,204,15.38,0,True
2019-04-01,51,204,15.38,0,True
2019-05-01,51,459,34.62,0,True
2019-06-01,51,459,34.62,0,True
2019-07-01,51,459,34.62,0,True
2019-08-01,51,459,34.62,0,True
2019-09-01,51,459,34.62,0,True
2019-10-01,51,459,34.62,0,True
2019-11-01,51,459,34.62,0,True
2019-12-01,51,459,34.62,0,True
2020-01-01,51,459,34.62,0,True
2020-02-01,51,204,15.38,0,True
2020-03-01,51,204,15.38,0,True
2020-04-01,51,204,15.38,0,True
2020-05-01,51,459,34.62,0,True
2020-06-01,51,459,34.62,0,True
2020-07-01,51,459,34.62,0,True
2020-08-01,51,459,34.62,0,True
2020-09-01,51,459,34.62,0,True
2020-10-01,51,459,34.62,0,True
2020-11-01,51,459,34.62,0,True
2020-12-01,51,459,34.62,0,True
2021-01-01,51,459,34.62,0,True
2021-02-01,51,204,15.38,0,True
2021-03-01,51,204,15.38,0,True
2021-04-01,51,204,15.38,0,True
2021-05-01,51,459,34.62,0,True
2021-06-01,51,459,34.62,0,True
2021-07-01,51,459,34.62,0,True
2021-08-01,51,459,34.62,0,True
2021-09-01,51,459,34.62,0,True
2021-10-01,51,459,34.62,0,True
2021-11-01,51,459,34.62,0,True
2021-12-01,51,459,34.62,0,True
2022-01-01,51,204,15.38,0,True
2022-02-01,51,204,15.38,0,True
2022-03-01,51,204,15.38,0,True
2022-04-01,51,204,15.38,0,True
2022-05-01,51,204,15.38,0,True
2022-06-01,51,204,15.38,0,True
2022-07-01,51,204,15.38,0,True
2022-08-01,51,204,15.38,0,True
2022-09-01,51,204,15.38,0,True
2022-10-01,51,204,15.38,0,True
2022-11-01,51,204,15.38,0,True
2022-12-01,51,204,15.38,0,True
2023-01-01,51,204,15.38,0,True
2023-02-01,51,204,15.38,0,True
2023-03-01,51,54,4.07,0,True
2023-04-01,51,54,4.07,0,True
2023-05-01,51,54,4.07,0,True
2023-06-01,51,54,4.07,0,True
2023-07-01,51,54,4.07,0,True
2023-08-01,51,54,4.07,0,True
2023-09-01,51,54,4.07,0,True
2023-10-01,51,57,4.3,0,True
2023-11-01,51,56,4.22,0,True
2023-12-01,51,54,4.07,0,True
2024-01-01,51,54,4.07,0,True
2024-02-01,51,54,4.07,0,True
2024-03-01,51,54,4.07,0,True
2024-04-01,51,54,4.07,0,True
2024-05-01,51,54,4.07,0,True
2024-06-01,51,54,4.07,0,True
2024-07-01,51,3,0.23,0,True
2024-08-01,51,3,0.23,0,True
2024-09-01,51,3,0.23,0,True
2024-10-01,51,3,0.23,0,True
2024-11-01,51,3,0.23,0,True
2024-12-01,51,6,0.45,0,True
2025-01-01,51,6,0.45,0,True
2025-02-01,51,3,0.23,0,True
2025-03-01,51,3,0.23,0,True
2025-04-01,51,3,0.23,0,True
2025-05-01,51,3,0.23,0,True
2025-06-01,51,3,0.23,0,True
2025-07-01,51,3,0.23,0,True
2025-08-01,51,3,0.23,0,True
2025-09-01,51,3,0.23,0,True
2025-10-01,51,3,0.23,0,True
2025-11-01,51,3,0.23,0,True
2025-12-01,51,3,0.23,0,True
2026-01-01,51,3,0.23,0,True
2026-02-01,51,3,0.23,51,False
