state_abbreviation,state_name,record_count,missing_value_count,missing_value_percent,preliminary_records
SD,South Dakota,86,459,20.53,1
RI,Rhode Island,86,357,15.97,1
AZ,Arizona,86,354,15.83,1
NV,Nevada,86,353,15.79,1
PA,Pennsylvania,86,351,15.7,1
ND,North Dakota,86,351,15.7,1
NE,Nebraska,86,351,15.7,1
NH,New Hampshire,86,351,15.7,1
NJ,New Jersey,86,351,15.7,1
NM,New Mexico,86,351,15.7,1
NY,New York,86,351,15.7,1
OH,Ohio,86,351,15.7,1
OK,Oklahoma,86,351,15.7,1
OR,Oregon,86,351,15.7,1
AK,Alaska,86,351,15.7,1
MT,Montana,86,351,15.7,1
SC,South Carolina,86,351,15.7,1
TN,Tennessee,86,351,15.7,1
TX,Texas,86,351,15.7,1
UT,Utah,86,351,15.7,1
VA,Virginia,86,351,15.7,1
VT,Vermont,86,351,15.7,1
WA,Washington,86,351,15.7,1
WI,Wisconsin,86,351,15.7,1
WV,West Virginia,86,351,15.7,1
NC,North Carolina,86,351,15.7,1
MS,Mississippi,86,351,15.7,1
AL,Alabama,86,351,15.7,1
MO,Missouri,86,351,15.7,1
AR,Arkansas,86,351,15.7,1
CA,California,86,351,15.7,1
CO,Colorado,86,351,15.7,1
CT,Connecticut,86,351,15.7,1
DC,District of Columbia,86,351,15.7,1
DE,Delaware,86,351,15.7,1
FL,Florida,86,351,15.7,1
GA,Georgia,86,351,15.7,1
HI,Hawaii,86,351,15.7,1
IA,Iowa,86,351,15.7,1
ID,Idaho,86,351,15.7,1
IL,Illinois,86,351,15.7,1
IN,Indiana,86,351,15.7,1
KS,Kansas,86,351,15.7,1
KY,Kentucky,86,351,15.7,1
LA,Louisiana,86,351,15.7,1
MA,Massachusetts,86,351,15.7,1
MD,Maryland,86,351,15.7,1
ME,Maine,86,351,15.7,1
MI,Michigan,86,351,15.7,1
MN,Minnesota,86,351,15.7,1
WY,Wyoming,86,351,15.7,1
