state_abbreviation,state_name,total_applications_submitted,medicaid_chip_agency_applications,total_medicaid_and_chip_determinations,medicaid_determinations,chip_determinations,average_monthly_enrollment,latest_month,determinations_per_application,applications_per_1000_average_enrollees,determinations_per_1000_average_enrollees
NY,New York,32246301.0,0.0,9097998.0,8675915.0,422083.0,6760774.104651162,2026-02-01,0.2821408260128813,4769.616688984734,1345.7035923949766
FL,Florida,25060921.0,25060921.0,13900974.0,12393696.0,1507278.0,4098383.197674419,2026-02-01,0.5546872758586965,6114.831091006946,3391.8190002067035
CA,California,14926149.0,11539297.0,13408368.0,12506434.0,901934.0,13062975.976744186,2026-02-01,0.8983139589454722,1142.6300581561807,1026.4405311523738
WA,Washington,12907381.0,6500893.0,4427855.0,4313662.0,114193.0,1907781.5697674418,2026-02-01,0.3430482915163037,6765.649277958696,2320.9444258022445
TX,Texas,9045451.0,9045451.0,5657393.0,4927465.0,729928.0,4738799.976744186,2026-02-01,0.6254406773084061,1908.8062472336546,1193.845072120334
MD,Maryland,8929963.0,502246.0,5298327.0,4691082.0,607245.0,1509451.7441860465,2026-02-01,0.5933201514944687,5916.030793561654,3510.1002866819426
PA,Pennsylvania,8215717.0,7542700.0,7688274.0,7057317.0,630957.0,3283031.9418604653,2026-02-01,0.9358007341294741,2502.4785458968836,2341.8212603935626
AZ,Arizona,6747708.0,6747708.0,921646.0,844710.0,76936.0,1963490.4069767443,2026-02-01,0.13658652686215822,3436.588218625262,469.39164903743585
OH,Ohio,5522349.0,5522349.0,3516157.0,3321514.0,194643.0,2959433.11627907,2026-02-01,0.6367140142718253,1866.0158155367656,1188.1184206051278
IL,Illinois,5245050.0,4449880.0,3195794.0,2906061.0,289733.0,3347628.2325581396,2026-02-01,0.6092971468336813,1566.7958433938518,954.6442370507453
IN,Indiana,4679551.0,4679551.0,2767134.0,2586442.0,180692.0,1716843.6162790698,2026-02-01,0.5913246805088779,2725.671083626144,1611.7565826975167
GA,Georgia,4061745.0,3870013.0,2077274.0,1888838.0,188436.0,2105100.476744186,2026-02-01,0.5114240308044942,1929.4779726058593,986.7814020985718
OK,Oklahoma,3784743.0,3784743.0,7893652.0,7157388.0,736264.0,989158.4302325582,2026-02-01,2.0856507297853515,3826.22528841025,7980.169565096005
MI,Michigan,3443442.0,3443442.0,2893229.0,2753235.0,139994.0,2617623.965116279,2026-02-01,0.8402142391246897,1315.4838303319998,1105.288245583234
NJ,New Jersey,2847331.0,2190037.0,2207860.0,1797156.0,410704.0,1928145.3837209302,2026-02-01,0.7754138876021088,1476.7200772512433,1145.0692560014727
VA,Virginia,2383172.0,2265574.0,3873236.0,3675322.0,197914.0,1734354.2674418604,2026-02-01,1.6252440025310804,1374.097578988365,2233.243849143318
NC,North Carolina,2344377.0,2344377.0,3419670.0,3158317.0,261353.0,2349939.0581395347,2026-02-01,1.4586689768753063,997.6331053691501,1455.216461105753
TN,Tennessee,2231552.0,2231552.0,907495.0,782574.0,124921.0,1559927.2209302327,2026-02-01,0.40666540595961914,1430.548791032223,581.7547048501614
UT,Utah,2044202.0,2044202.0,3728680.0,3728680.0,0.0,378893.5232558139,2026-02-01,1.8240271753965607,5395.188554384013,9840.970539584923
MN,Minnesota,1900194.0,429001.0,971726.0,964434.0,7292.0,1208599.058139535,2026-02-01,0.5113825219951226,1572.2285957471095,804.0102244460069
LA,Louisiana,1865465.0,1865465.0,828481.0,764062.0,64419.0,1655179.1162790698,2026-02-01,0.4441150061780843,1127.0472069474051,500.53857727643947
CO,Colorado,1805410.0,1795949.0,1530092.0,1457139.0,72953.0,1389941.9069767443,2026-02-01,0.8475038910829119,1298.9104011742031,1100.8316191632032
MO,Missouri,1797522.0,1797522.0,1183598.0,1094300.0,89298.0,1189347.034883721,2026-02-01,0.6584609256520921,1511.351983297069,995.1662259079134
WI,Wisconsin,1674548.0,1674548.0,1348447.0,1247287.0,101160.0,1229735.3488372094,2026-02-01,0.8052602851635188,1361.7141294534538,1096.5343081948809
MA,Massachusetts,1668942.0,1142951.0,1155148.0,1086194.0,68954.0,1744342.3953488371,2026-02-01,0.6921438851679687,956.7743147504259,662.2254914402806
NV,Nevada,1622682.0,1455742.0,776460.0,773022.0,3438.0,770879.5465116279,2026-02-01,0.47850410616497874,2104.9747750383767,1007.2390732295657
AR,Arkansas,1614325.0,1614325.0,1139467.0,1056481.0,82986.0,912309.3604651163,2026-02-01,0.7058473355736918,1769.4929702102147,1248.991898339258
SC,South Carolina,1556412.0,1556412.0,454124.0,432936.0,21188.0,1139759.534883721,2026-02-01,0.2917762134961694,1365.5617280348404,398.4384303012916
MS,Mississippi,1439934.0,1439934.0,818301.0,773843.0,44458.0,660519.0581395349,2026-02-01,0.5682906299872077,2180.0037141332773,1238.8756840792528
IA,Iowa,1402149.0,1402149.0,850391.0,731430.0,118961.0,736269.023255814,2026-02-01,0.6064911788975351,1904.3976531833914,1155.0003777688944
WV,West Virginia,1384807.0,1384807.0,686849.0,644561.0,42288.0,558701.9302325582,2026-02-01,0.4959889717484097,2478.615027199884,1229.3657187010272
CT,Connecticut,1380157.0,444312.0,1080239.0,1046596.0,33643.0,933274.7209302326,2026-02-01,0.7826928385683658,1478.832512064981,1157.471616635327
OR,Oregon,1181992.0,1181992.0,14998313.0,13739992.0,1258321.0,1240192.1279069767,2026-02-01,12.689013969637696,953.0716841388127,12093.53991410352
NM,New Mexico,1083486.0,1083486.0,1076643.0,977045.0,99598.0,790308.5116279069,2026-02-01,0.9936842746468344,1370.9658747926112,1362.3072308588587
KY,Kentucky,1083007.0,1083007.0,1398683.0,1321444.0,77239.0,1459805.2441860465,2026-02-01,1.2914810338252662,741.884579681627,958.1298639462507
AL,Alabama,890750.0,890750.0,1243716.0,948841.0,294875.0,1019611.0116279069,2026-02-01,1.3962570867246702,873.6174774905894,1219.7945940327654
ID,Idaho,814965.0,814965.0,802413.0,746154.0,56259.0,352050.26744186046,2026-02-01,0.9845981115753437,2314.910895883889,2279.2568965524642
NE,Nebraska,662827.0,662827.0,536212.0,475840.0,60372.0,329348.511627907,2026-02-01,0.8089773047869203,2012.5398372798843,1628.099053338988
ME,Maine,594727.0,514850.0,768808.0,742937.0,25871.0,329791.31395348837,2026-02-01,1.292707410290772,1803.343432155634,2331.195418046783
KS,Kansas,474207.0,474207.0,21140.0,12819.0,8321.0,434011.75581395347,2026-02-01,0.04457968777348289,1092.6132613865807,48.708358049780614
NH,New Hampshire,422811.0,422811.0,331988.0,297757.0,34231.0,202903.23255813954,2026-02-01,0.7851924382289013,2083.806130978463,1636.1888167793124
DE,Delaware,366682.0,366682.0,337276.0,287495.0,49781.0,262624.37209302327,2026-02-01,0.9198051717837255,1396.2222815714867,1284.2524755491263
HI,Hawaii,337452.0,337452.0,353304.0,336347.0,16957.0,404815.6511627907,2026-02-01,1.0469755698588243,833.594252175538,872.7528172025245
VT,Vermont,311068.0,178374.0,268574.0,260113.0,8461.0,169188.52325581395,2026-02-01,0.863393213059524,1838.588067404924,1587.4244590096378
MT,Montana,303541.0,303541.0,283319.0,257870.0,25449.0,267229.8604651163,2026-02-01,0.9333796752333293,1135.879798281838,1060.2071172244016
SD,South Dakota,270620.0,270620.0,246600.0,233989.0,12611.0,128248.76744186046,2026-02-01,0.9112408543344912,2110.1177453629816,1922.825497030934
ND,North Dakota,222006.0,222006.0,188663.0,182841.0,5822.0,109652.79069767441,2026-02-01,0.8498103654856175,2024.6269938728378,1720.5490056351232
AK,Alaska,215498.0,215498.0,169975.0,161092.0,8883.0,241879.59302325582,2026-02-01,0.7887544199946172,890.9308855141023,702.7256738589665
DC,District of Columbia,191055.0,147602.0,99449.0,99449.0,0.0,267462.18604651163,2026-02-01,0.5205255031273717,714.3252764963776,371.8245239448758
RI,Rhode Island,135278.0,135278.0,163199.0,149967.0,13232.0,323847.9651162791,2026-02-01,1.2063971968834548,417.7207040699725,503.937086470198
WY,Wyoming,111826.0,111826.0,74218.0,69858.0,4360.0,67818.76744186046,2026-02-01,0.6636918069143133,1648.894608647466,1094.3578422245062
